Province/State,Country/Region,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020
Diamond Princess,Canada,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,Dominica,12,12,12,14,14,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16
,Grenada,9,10,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,15
,Mozambique,10,10,10,10,10,10,10,17,17,20,20,21,21,28,29,31,34,35,39,39,39,41
,Syria,10,16,16,16,19,19,19,19,19,19,25,25,25,29,33,33,38,38,39,39,42,42
,Timor-Leste,1,1,1,1,1,1,1,1,1,2,2,2,4,6,8,18,18,18,19,22,23,23
,Belize,3,3,4,4,5,7,7,8,9,10,13,14,18,18,18,18,18,18,18,18,18,18
Recovered,Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Laos,10,10,10,10,11,12,14,15,16,16,18,19,19,19,19,19,19,19,19,19,19,19
,Libya,10,11,11,18,18,19,20,21,24,24,24,25,26,35,48,49,49,49,51,51,51,59
,West Bank and Gaza,134,161,194,217,237,254,261,263,263,267,268,290,308,308,374,374,402,418,437,449,466,474
,Guinea-Bissau,9,9,15,18,18,18,33,33,36,36,38,38,38,38,43,43,43,46,50,50,50,50
,Mali,31,36,39,41,45,47,56,59,74,87,87,105,123,144,148,171,171,216,224,246,258,293
,Saint Kitts and Nevis,8,9,9,9,10,10,11,11,11,12,12,12,12,14,14,14,14,14,14,15,15,15
Northwest Territories,Canada,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Yukon,Canada,5,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,9,9,11,11,11
,Kosovo,125,125,126,135,145,145,170,184,184,250,283,283,283,387,387,449,480,510,510,510,510,510
,Burma,15,20,20,21,21,22,22,22,23,27,38,41,62,63,74,85,88,98,111,119,121,123
Anguilla,United Kingdom,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
British Virgin Islands,United Kingdom,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5
Turks and Caicos Islands,United Kingdom,6,5,5,5,5,8,8,8,8,8,8,9,10,10,10,11,11,11,11,11,11,11
,MS Zaandam,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
,Botswana,4,4,4,4,6,6,6,6,13,13,13,13,13,13,13,15,15,15,20,20,20,22
,Burundi,2,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,11
,Sierra Leone,2,2,2,4,6,6,6,7,7,8,8,10,10,11,13,15,26,30,35,43,50,61
"Bonaire, Sint Eustatius and Saba",Netherlands,0,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,5,5,5
,Malawi,0,3,3,4,4,5,8,8,8,9,12,13,16,16,16,16,17,17,17,17,18,23
Falkland Islands (Malvinas),United Kingdom,0,0,0,1,2,2,2,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11
Saint Pierre and Miquelon,France,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,South Sudan,0,0,0,0,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4
,Western Sahara,0,0,0,0,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6
,Sao Tome and Principe,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,Yemen,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
